id,taxon,common_name,family,type,app_claimed_rarity,inat_sg_observations,inat_sg_research_grade,inat_global_observations,inat_bucket
118,Tholymis tillarga,White-barred Duskhawk,Libellulidae,anisoptera,common,1316,1291,7558,abundant records (150+)
44,Prodasineura collaris,Collared Threadtail,Protoneuridae,zygoptera,uncommon,1353,1242,1544,abundant records (150+)
122,Trithemis pallidinervis,Dancing Dropwing,Libellulidae,anisoptera,uncommon,1437,1327,4143,abundant records (150+)
123,Tyriobapta torrida,Treehugger,Libellulidae,anisoptera,common,1546,1534,2633,abundant records (150+)
24,Ceriagrion cerinorubellum,Ornate Coraltail,Coenagrionidae,zygoptera,common,1795,1753,4938,abundant records (150+)
100,Orchithemis pulcherrima,Variable Sentinel,Libellulidae,anisoptera,common,1872,1790,2469,abundant records (150+)
26,Ischnura senegalensis,Common Bluetail,Coenagrionidae,zygoptera,very common,1876,1692,22583,abundant records (150+)
104,Orthetrum sabina,Variegated Green Skimmer,Libellulidae,anisoptera,very common,1902,1873,30068,abundant records (150+)
91,Lathrecista asiatica,Scarlet Grenadier,Libellulidae,anisoptera,common,1922,1907,6221,abundant records (150+)
102,Orthetrum glaucum,Common Blue Skimmer,Libellulidae,anisoptera,common,1952,1740,15600,abundant records (150+)
78,Brachydiplax chalybea,Blue Dasher,Libellulidae,anisoptera,common,1964,1917,9022,abundant records (150+)
113,Rhyothemis phyllis,Yellow-Barred Flutterer,Libellulidae,anisoptera,very common,2110,2085,15019,abundant records (150+)
76,Agrionoptera insignis,Grenadier,Libellulidae,anisoptera,uncommon,2416,2369,5188,abundant records (150+)
101,Orthetrum chrysis,Spine-tufted Skimmer,Libellulidae,anisoptera,common,2447,2332,7561,abundant records (150+)
120,Trithemis aurora,Crimson Dropwing,Libellulidae,anisoptera,common,3528,3406,20787,abundant records (150+)
86,Crocothemis servilia,Common Scarlet,Libellulidae,anisoptera,very common,6340,6013,33156,abundant records (150+)
97,Neurothemis fluctuans,Common Parasol,Libellulidae,anisoptera,common,9387,9223,15216,abundant records (150+)
